lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014400,Bath and North East Somerset 001B,35,31,29,31,34,34,32,23,29,32,30,28,32,24,22,20,21,18,21,23,30,27,33,26,27,29,36,38,36,37,37,59,46,48,36,35,53,45,30,44,28,24,35,40,31,29,27,32,44,27,32,31,37,34,31,28,39,28,37,25,34,29,30,25,23,26,18,28,24,16,23,35,27,31,31,26,19,20,26,16,14,18,19,16,18,13,10,9,5,6
E01014401,Bath and North East Somerset 001C,15,20,21,21,19,20,25,27,17,21,28,25,24,19,29,19,22,19,14,13,17,17,10,24,18,16,20,18,22,21,18,26,24,20,26,22,25,26,22,38,24,22,18,14,25,19,19,21,23,27,19,19,21,26,22,27,22,22,25,26,17,24,22,20,21,23,23,13,9,22,15,21,10,19,20,10,11,13,9,7,9,11,14,5,6,7,4,4,10,2
E01014403,Bath and North East Somerset 002B,15,11,12,12,17,14,13,12,4,14,15,13,12,18,8,19,8,6,15,16,7,13,16,23,20,17,21,24,26,23,19,17,15,26,16,14,26,23,21,11,11,26,17,10,21,20,18,30,32,16,20,23,23,31,25,26,28,23,28,28,18,27,27,25,21,22,25,27,14,14,23,24,30,33,23,19,27,27,27,23,18,21,19,23,13,21,17,17,8,14
E01014404,Bath and North East Somerset 002C,30,31,33,30,38,32,19,36,35,29,28,24,25,27,21,13,25,18,23,28,29,19,21,27,23,23,40,33,37,40,33,32,38,42,34,17,31,36,25,29,29,29,27,21,20,20,31,23,29,39,19,33,21,21,25,24,25,28,23,19,25,20,16,19,15,17,17,9,20,19,12,19,18,15,23,19,21,10,12,15,7,13,12,4,2,7,6,6,6,5
E01014405,Bath and North East Somerset 009A,23,12,27,14,23,27,17,15,21,17,15,16,20,26,22,18,17,25,14,69,116,103,54,32,22,28,30,28,33,27,16,25,26,34,34,28,18,25,21,25,19,25,24,16,31,17,28,26,36,35,21,24,22,29,34,28,29,28,30,22,21,17,20,19,20,20,16,20,21,15,22,14,17,10,20,18,14,6,14,12,4,5,11,8,9,9,6,8,7,9
E01014407,Bath and North East Somerset 009C,9,4,0,12,3,7,3,8,7,3,7,5,9,4,4,5,3,11,142,194,117,138,94,68,35,35,39,30,32,25,22,25,16,16,10,13,15,19,9,24,13,17,12,9,16,8,19,9,12,13,12,9,12,13,21,20,14,13,5,16,14,17,9,9,15,5,9,4,7,7,5,9,9,9,7,4,4,3,4,2,1,6,2,6,1,2,3,2,0,1
E01014409,Bath and North East Somerset 004A,10,19,20,11,16,15,17,12,19,22,21,17,16,17,26,17,22,20,16,25,16,13,9,10,13,14,20,9,12,9,13,10,16,17,26,18,22,17,20,17,24,20,25,13,15,22,21,21,27,24,25,20,29,20,29,27,21,29,27,30,16,27,18,15,29,16,20,14,19,21,13,14,21,21,23,10,18,17,18,11,15,10,6,19,7,7,4,8,5,10
E01014410,Bath and North East Somerset 004B,18,12,21,20,14,22,19,21,24,22,33,27,23,26,31,26,25,19,16,9,13,14,15,19,17,14,11,11,21,18,20,16,25,25,19,21,15,17,18,17,20,20,22,36,16,28,18,32,22,21,33,35,25,17,24,31,37,27,25,27,14,27,12,32,16,24,17,23,12,18,23,21,17,27,22,11,14,14,7,12,15,12,10,11,7,14,8,8,6,4
E01014411,Bath and North East Somerset 004C,18,16,20,24,19,20,26,19,26,24,26,26,24,23,16,21,26,17,29,14,21,27,22,23,23,26,14,23,26,31,32,31,32,18,23,24,30,28,32,28,32,34,33,23,21,28,35,29,38,35,38,34,31,27,31,33,45,40,26,27,31,25,33,16,21,27,23,13,24,22,21,22,32,28,16,18,17,14,14,16,11,16,15,13,15,10,7,11,13,11
E01014412,Bath and North East Somerset 007D,7,10,8,7,9,7,8,11,13,18,8,16,17,21,16,18,11,16,11,13,19,32,41,16,30,25,16,12,16,17,12,13,13,15,7,16,13,9,12,8,17,10,14,18,21,18,18,24,18,24,15,25,27,28,19,22,24,20,28,27,14,18,20,15,11,10,13,13,18,11,15,16,16,15,15,14,11,14,8,4,8,9,7,6,8,5,1,5,5,5
E01014413,Bath and North East Somerset 007E,22,21,16,26,27,26,26,31,41,40,39,45,66,70,61,59,55,64,40,16,12,23,13,8,18,11,8,18,12,19,16,20,19,19,27,28,27,27,28,34,32,24,31,19,32,25,30,35,37,47,40,37,30,36,31,35,33,26,47,28,31,21,25,22,19,28,19,22,29,22,24,32,32,30,27,27,21,20,20,20,14,20,14,14,13,12,17,7,10,6
E01014414,Bath and North East Somerset 007F,10,8,10,6,9,6,4,9,9,6,11,5,7,5,10,3,12,8,10,33,49,49,79,34,49,42,32,42,34,30,30,29,34,21,24,19,20,19,15,19,19,11,25,17,13,10,20,21,28,15,14,27,19,27,13,14,21,27,20,28,17,10,17,15,13,9,14,16,7,8,7,8,12,12,23,2,12,11,6,10,5,10,7,4,4,4,1,2,2,1
E01014415,Bath and North East Somerset 017A,16,14,19,12,22,18,18,19,27,17,20,25,23,29,31,29,25,41,22,45,35,33,37,17,25,14,27,21,16,19,16,19,13,21,21,12,18,19,15,26,30,18,30,31,21,21,21,45,47,32,29,38,33,28,37,30,31,31,25,32,27,20,27,26,25,25,22,23,12,20,14,18,16,15,17,15,19,11,7,5,10,4,9,9,12,10,3,0,2,4
E01014416,Bath and North East Somerset 017B,10,11,9,8,11,12,17,17,15,22,25,27,25,25,35,32,22,22,29,17,17,17,20,21,24,13,16,14,9,14,15,11,11,20,17,15,18,25,10,12,19,19,19,18,16,22,28,35,17,35,29,29,16,23,37,26,18,23,17,20,20,17,29,21,20,19,18,20,23,20,14,18,16,16,34,15,16,14,16,19,11,16,13,14,8,19,13,7,13,18
E01014417,Bath and North East Somerset 017C,18,16,12,13,15,12,13,27,21,36,19,37,26,38,28,27,14,26,13,16,16,21,30,15,18,13,9,16,16,13,21,14,16,18,13,9,16,19,13,10,11,28,18,23,36,23,32,34,25,24,27,22,31,37,38,24,34,19,34,33,30,18,38,24,21,36,27,25,15,22,23,21,20,22,28,13,17,15,12,13,20,10,9,3,14,11,5,11,7,1
E01014418,Bath and North East Somerset 021D,10,18,7,21,19,14,8,22,13,15,20,10,18,14,22,17,14,13,9,9,17,9,8,18,10,9,10,16,8,11,9,7,10,11,21,14,12,14,18,16,13,25,20,15,12,16,10,10,15,23,12,20,31,24,25,31,28,22,36,33,24,35,29,34,22,19,24,20,17,23,16,25,19,27,22,14,24,13,11,15,15,13,12,4,7,4,1,2,4,6
E01014419,Bath and North East Somerset 020C,14,20,17,20,15,23,21,15,20,22,16,19,15,19,11,15,15,12,14,16,15,7,9,19,18,17,14,15,13,20,31,19,26,19,18,21,24,18,17,25,17,17,16,16,17,28,20,19,27,12,32,25,21,23,24,22,26,21,14,18,21,17,17,19,20,15,16,16,12,19,11,14,21,24,9,10,17,6,10,10,7,8,10,8,6,3,10,9,5,7
E01014420,Bath and North East Somerset 025A,17,16,21,14,14,22,18,24,16,15,19,13,9,15,14,13,14,13,14,13,11,10,18,8,17,31,14,17,22,23,18,20,19,20,25,19,17,20,23,12,20,19,24,21,17,15,15,15,26,17,21,36,30,24,24,17,36,26,21,23,21,26,17,23,17,10,10,17,17,18,13,16,13,18,16,12,12,12,17,3,5,6,8,8,5,7,5,4,0,3
E01014421,Bath and North East Somerset 025B,12,11,15,19,21,17,14,15,22,14,26,18,23,22,16,23,20,19,16,9,21,13,12,19,12,11,12,15,19,18,12,15,10,13,29,22,15,15,15,18,19,27,19,9,13,18,16,15,24,19,23,20,24,20,27,20,28,28,31,31,28,22,20,28,13,18,8,18,16,18,16,11,21,15,16,8,16,14,7,10,12,8,9,13,12,8,8,5,3,2
E01014422,Bath and North East Somerset 025C,19,14,19,22,28,19,19,13,15,20,19,23,15,9,20,21,23,18,16,14,12,19,15,13,15,12,18,13,22,15,19,17,11,22,16,19,18,25,19,22,18,17,22,11,13,26,13,23,29,23,20,22,18,32,33,25,24,23,23,27,20,26,22,19,23,18,17,26,16,18,22,21,19,27,24,23,13,23,15,22,11,20,22,20,8,10,10,6,5,3
