lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014403,Bath and North East Somerset 002B,12,5,8,5,8,8,6,9,2,8,10,11,6,10,7,11,3,4,6,6,3,3,12,13,13,7,12,13,12,12,12,13,7,16,10,3,10,15,8,5,5,14,7,9,10,9,8,15,19,8,5,13,14,18,10,16,18,8,14,15,10,11,10,15,13,9,15,12,10,10,17,11,17,19,11,6,10,14,20,10,11,16,11,15,11,12,9,12,2,8
E01014404,Bath and North East Somerset 002C,8,16,22,14,22,16,8,11,15,16,16,11,11,10,8,5,11,9,14,14,13,9,13,8,11,12,19,21,22,23,20,13,23,19,24,5,17,20,15,14,14,19,12,8,12,10,20,13,20,20,12,14,13,14,11,12,13,15,9,9,16,13,9,13,14,3,10,4,8,8,8,12,10,5,14,13,14,3,5,9,5,5,4,2,1,4,5,5,3,3
E01014405,Bath and North East Somerset 009A,12,5,16,5,10,12,11,6,9,13,7,9,16,14,7,10,6,11,9,48,74,58,30,17,14,13,16,16,16,12,6,15,13,20,15,16,6,13,9,11,12,11,15,6,15,9,14,12,18,20,11,14,10,14,13,14,13,11,19,13,10,8,6,8,8,12,9,11,10,8,11,12,9,8,10,9,12,1,7,5,1,5,8,5,2,4,3,4,6,5
E01014407,Bath and North East Somerset 009C,8,1,0,7,3,7,1,4,3,0,4,4,5,1,2,2,0,7,51,101,80,102,51,35,16,21,21,13,12,16,12,15,8,6,7,5,9,7,4,16,6,5,5,7,6,3,11,5,7,9,6,4,9,7,12,10,10,6,5,4,7,8,5,2,6,1,5,1,5,4,2,2,4,5,3,2,1,0,1,2,1,5,1,4,1,1,0,2,0,1
E01014409,Bath and North East Somerset 004A,3,7,12,4,8,7,13,7,10,15,7,6,8,7,10,8,10,10,11,16,8,9,5,4,8,6,8,6,7,5,9,2,11,10,12,9,7,10,10,10,12,12,14,4,6,8,13,13,14,9,11,12,22,8,15,15,9,14,17,12,10,15,11,8,15,7,10,8,10,15,11,8,10,13,11,7,11,9,11,8,10,7,2,11,3,4,2,5,4,7
E01014410,Bath and North East Somerset 004B,10,9,8,6,7,7,10,9,9,14,20,11,6,11,11,11,11,6,8,3,5,8,5,3,6,10,3,3,10,9,8,10,15,13,9,10,6,7,8,9,9,11,14,26,9,12,10,16,13,9,18,17,18,8,11,11,22,14,11,12,9,15,7,19,10,13,7,16,7,10,10,20,5,13,8,4,10,9,4,2,11,8,8,8,2,5,6,3,2,2
E01014411,Bath and North East Somerset 004C,9,11,5,12,9,6,13,6,16,12,14,10,8,12,8,11,10,7,12,4,11,17,11,12,10,11,11,11,15,16,17,14,17,11,13,12,21,14,12,10,13,13,23,13,7,16,18,17,21,17,17,15,17,13,19,17,17,26,12,9,14,14,21,9,7,16,12,4,14,15,16,11,17,12,8,9,10,13,7,5,9,9,9,7,7,9,4,3,9,8
E01014412,Bath and North East Somerset 007D,3,7,3,6,6,4,6,4,8,11,4,8,8,11,8,7,5,5,4,6,11,17,20,8,18,7,9,7,7,6,5,10,2,9,4,8,7,6,7,6,9,4,7,8,15,11,6,9,9,7,9,13,13,14,14,10,13,11,16,11,8,7,13,8,4,5,7,5,4,4,8,9,11,6,5,6,7,11,6,3,7,4,6,4,3,2,0,3,3,3
E01014413,Bath and North East Somerset 007E,10,8,8,18,13,14,13,15,21,21,19,18,30,37,35,37,33,39,23,4,5,11,10,7,7,6,4,13,10,8,7,11,11,11,15,18,14,13,14,23,17,15,15,11,16,13,18,16,17,30,21,17,16,17,16,24,16,17,25,16,13,10,10,15,6,17,7,13,17,11,11,20,19,12,12,13,12,11,14,12,7,10,9,8,8,7,10,3,4,3
E01014414,Bath and North East Somerset 007F,4,3,0,5,4,2,0,6,4,5,4,0,4,2,2,1,6,2,4,24,31,30,42,17,19,21,16,22,15,16,16,8,19,9,10,10,10,9,8,8,8,6,9,5,8,5,5,6,13,8,5,11,8,14,7,6,10,12,9,12,5,6,9,9,6,3,7,9,4,2,2,4,3,4,15,0,6,5,4,6,3,5,5,1,2,3,1,2,1,1
E01014415,Bath and North East Somerset 017A,9,4,6,7,12,11,10,10,14,8,11,14,11,14,20,16,13,26,12,19,11,15,10,6,10,8,11,11,11,10,5,8,8,10,10,8,13,11,9,15,15,14,11,16,9,10,10,21,26,18,16,19,15,17,17,15,14,14,20,20,14,10,14,17,12,13,11,10,4,12,10,12,10,6,8,4,9,6,3,4,7,3,3,3,7,5,3,0,1,1
E01014416,Bath and North East Somerset 017B,7,4,4,4,4,8,5,7,8,11,9,11,10,15,13,15,14,14,15,11,7,8,10,15,12,5,3,8,4,11,7,6,5,11,7,5,8,14,9,7,14,11,8,10,5,11,19,20,13,18,10,19,8,12,13,11,13,12,8,10,9,10,12,9,12,12,8,12,11,8,9,10,9,9,20,11,6,6,14,11,9,9,6,7,5,10,5,5,6,11
E01014417,Bath and North East Somerset 017C,8,10,7,3,10,5,5,15,16,12,8,17,12,16,13,12,8,16,9,8,6,8,12,8,6,8,5,8,8,6,10,5,9,9,7,6,3,8,4,7,8,17,10,11,13,13,17,15,14,15,11,8,15,20,18,12,16,8,20,17,20,3,24,13,6,23,16,11,11,12,9,8,11,11,17,6,8,10,6,5,12,5,3,2,7,8,3,6,5,1
E01014418,Bath and North East Somerset 021D,8,7,1,9,8,3,4,9,4,9,9,6,9,8,14,9,8,3,1,4,10,6,6,6,7,5,6,6,3,4,7,7,6,7,10,8,4,10,14,7,7,13,9,5,6,9,4,4,9,15,8,10,15,14,15,14,16,6,18,18,10,15,18,16,8,11,13,13,7,11,12,13,8,14,7,5,11,8,8,10,9,5,4,2,1,2,0,1,3,4
E01014419,Bath and North East Somerset 020C,5,8,6,13,9,6,11,7,9,10,6,15,6,9,5,5,9,6,7,8,8,1,4,7,7,9,9,8,8,13,15,8,10,12,8,11,14,8,8,17,6,12,9,7,8,16,8,11,10,6,14,14,12,12,9,9,14,10,7,11,9,10,7,9,10,8,7,7,5,8,8,8,11,12,6,4,9,3,4,7,4,7,3,6,4,3,6,7,1,5
E01014420,Bath and North East Somerset 025A,10,10,12,6,8,12,9,9,8,7,11,5,5,3,9,9,8,7,4,5,8,2,7,6,9,14,5,14,11,8,13,10,7,10,17,9,11,7,13,7,9,11,10,8,10,5,9,6,13,8,16,20,13,9,14,9,16,15,10,12,8,13,8,14,13,6,7,8,8,13,4,7,7,13,12,5,6,5,9,0,4,2,5,4,3,4,2,1,0,2
E01014421,Bath and North East Somerset 025B,6,4,9,8,10,9,4,7,11,6,14,7,14,7,6,10,12,10,8,3,11,7,7,10,2,8,8,7,11,8,5,10,6,3,17,13,9,8,7,9,11,17,9,3,7,10,10,9,12,11,11,7,13,16,17,9,15,17,18,12,13,7,8,16,4,12,7,10,9,12,7,4,8,9,8,4,7,6,5,8,5,7,4,7,7,1,4,3,1,1
E01014422,Bath and North East Somerset 025C,9,5,10,10,14,6,9,6,3,9,10,12,7,4,9,14,10,8,8,8,7,8,7,8,8,5,11,6,14,7,7,9,6,12,8,8,9,15,7,14,7,8,12,2,8,12,5,7,14,17,10,14,10,18,21,12,10,11,10,13,10,16,11,7,12,9,8,17,6,10,11,13,9,13,14,10,9,12,11,9,1,10,11,10,8,6,3,4,0,2
E01014423,Bath and North East Somerset 025D,8,6,4,9,8,10,4,9,9,10,8,6,11,10,11,7,3,4,4,12,9,5,5,13,7,16,7,10,5,6,8,15,13,4,12,10,8,14,6,8,11,14,7,8,8,5,5,8,8,15,18,9,18,13,12,11,7,9,10,12,6,8,8,8,5,10,10,7,7,6,11,5,9,7,7,10,3,9,4,10,9,7,3,4,6,3,5,7,2,3
E01014424,Bath and North East Somerset 027A,6,11,8,17,21,14,14,10,10,8,11,16,14,12,16,13,13,17,10,10,13,8,15,11,13,11,13,6,17,18,16,15,12,16,14,18,15,8,10,12,10,12,8,14,8,15,17,10,13,22,18,14,20,13,14,6,10,19,15,15,11,6,16,13,11,15,7,13,16,18,15,17,16,10,17,15,14,10,14,9,7,5,7,10,10,5,7,3,4,3
E01014425,Bath and North East Somerset 027B,8,7,7,9,15,19,12,15,17,15,9,11,12,9,13,11,12,20,15,12,15,6,9,10,6,10,10,11,13,12,15,10,12,9,24,17,10,12,7,20,19,21,12,10,15,13,18,12,16,12,14,19,10,20,16,25,19,13,16,16,12,17,8,19,17,17,11,11,9,9,11,21,16,18,18,16,21,22,14,15,9,6,11,8,9,6,6,5,3,8
